nome,descricao
Algodão cru,"Tecido de algodão sem tingimento, utilizado em bolsas, bonecas, decoração e peças artesanais."
Algodão colorido,"Tecido de algodão tingido em diferentes cores para costura, patchwork e decoração."
Linho,"Fibra têxtil natural resistente, usada em roupas, acessórios, bordados e decoração."
Juta,"Fibra vegetal rústica utilizada em sacos, laços, embalagens, painéis e decoração."
Sisal,"Fibra vegetal resistente utilizada em cordas, tapetes, cestos e peças decorativas."
Palha de milho,"Material vegetal seco usado em bonecas, flores, cestaria e decoração."
Palha de coqueiro,"Fibra e folhas secas de coqueiro utilizadas em trançados, cestos e objetos decorativos."
Bambu,"Material vegetal leve e resistente usado em cestaria, utensílios, estruturas e decoração."
Madeira,"Material natural utilizado em esculturas, brinquedos, móveis, placas e objetos decorativos."
Madeira de reflorestamento,Madeira proveniente de espécies cultivadas para produção sustentável de peças artesanais.
MDF,"Painel de fibras de madeira prensadas, muito utilizado em recortes, pintura e decoração."
Compensado,"Painel formado por lâminas de madeira coladas, utilizado em objetos, brinquedos e decoração."
Galho seco,"Galhos naturais secos utilizados em arranjos, esculturas e decoração."
Sementes naturais,"Sementes secas utilizadas em colares, pulseiras, arranjos e objetos decorativos."
Cascas de coco,"Parte rígida do coco utilizada em bowls, esculturas, acessórios e objetos decorativos."
Cabaça,"Fruto seco e rígido utilizado em instrumentos, recipientes, esculturas e peças decorativas."
Barro,Argila natural utilizada na modelagem e produção de peças cerâmicas artesanais.
Argila,Material plástico de origem mineral utilizado para modelagem e produção de cerâmica.
Argila polimérica,"Massa sintética modelável que endurece após cozimento, usada em miniaturas e acessórios."
Massa de biscuit,"Massa artesanal à base de amido utilizada para modelagem de figuras, flores e enfeites."
Massa de modelar,Material maleável utilizado para modelagem artística e produção de protótipos.
Gesso,"Material mineral em pó utilizado para moldagem, esculturas, relevos e peças decorativas."
Cimento,"Material aglomerante utilizado em vasos, esculturas, objetos decorativos e peças de concreto artesanal."
Resina epóxi,"Resina de dois componentes que endurece após mistura, utilizada em mesas, bijuterias e objetos decorativos."
Resina acrílica,"Resina sintética utilizada em moldagem, revestimentos e produção de peças artesanais."
Silicone para moldes,Material elastomérico utilizado para criar moldes flexíveis de peças artesanais.
Papel kraft,"Papel resistente de aparência natural usado em embalagens, cartões, encadernação e decoração."
Papel reciclado,"Papel produzido a partir de fibras reaproveitadas, utilizado em papelaria e artesanato."
Papelão,"Material de fibras de papel mais espessas utilizado em maquetes, embalagens e estruturas artesanais."
Papel cartão,"Papel rígido utilizado em cartões, caixas, recortes e trabalhos de papelaria."
Papel de seda,"Papel fino e leve utilizado em flores, decoupage, embalagens e decoração."
Papel colorido,"Papel pigmentado em diferentes cores utilizado em origami, colagem e papelaria."
Cartolina,"Papel espesso e colorido utilizado em recortes, cartões, moldes e trabalhos escolares e artesanais."
EVA,"Espuma sintética flexível utilizada em flores, bonecos, enfeites e trabalhos decorativos."
Feltro,"Material têxtil não tecido utilizado em bonecos, enfeites, aplicações e acessórios."
Lã,"Fibra têxtil utilizada em tricô, crochê, pompons, feltragem e decoração."
Fio de algodão,"Fio natural utilizado em crochê, macramê, bordado e tecelagem."
Fio encerado,"Fio revestido com cera utilizado principalmente em bijuterias, pulseiras e trabalhos de cordão."
Fio de nylon,"Fio sintético resistente utilizado em bijuterias, pesca artesanal, costura e montagem de peças."
Fio de seda,"Fio fino e brilhante utilizado em bordados, joias artesanais e trabalhos têxteis."
Barbante,"Fio grosso geralmente de algodão utilizado em crochê, macramê, embalagens e decoração."
Cordão de algodão,"Cordão macio de fibras de algodão utilizado em macramê, bolsas, acessórios e decoração."
Cordão de sisal,"Cordão produzido com fibra de sisal, utilizado em peças rústicas, embalagens e decoração."
Corda de juta,"Corda de fibra de juta utilizada em decoração, macramê, embalagens e trabalhos rústicos."
Arame galvanizado,"Fio metálico com proteção contra corrosão utilizado em estruturas, esculturas e artesanato."
Arame de alumínio,"Fio metálico leve e maleável utilizado em esculturas, bijuterias e estruturas artesanais."
Arame de cobre,"Fio metálico maleável utilizado em bijuterias, esculturas e trabalhos decorativos."
Chapa de metal,"Lâmina metálica utilizada em recortes, gravações, esculturas e objetos artesanais."
Lata reciclada,"Recipiente metálico reaproveitado em vasos, luminárias, brinquedos e objetos decorativos."
Alumínio reciclado,"Metal reaproveitado utilizado em esculturas, objetos decorativos e peças artesanais."
Vidro,"Material rígido utilizado em mosaicos, decoração, recipientes e peças artesanais."
Garrafa de vidro,"Recipiente reaproveitado em vasos, luminárias, terrários e objetos decorativos."
Espelho,"Material refletivo utilizado em mosaicos, decoração e composição de peças artesanais."
Azulejo,"Peça cerâmica utilizada em mosaicos, painéis, bandejas e decoração."
Cerâmica,"Material queimado à base de argila utilizado em vasos, esculturas, utensílios e objetos decorativos."
Porcelana fria,Material de modelagem de acabamento delicado utilizado em miniaturas e decoração.
Pedra natural,"Fragmentos ou peças de pedra utilizados em esculturas, mandalas, mosaicos e decoração."
Pedra-sabão,"Pedra macia e relativamente fácil de esculpir, utilizada em esculturas e objetos decorativos."
Mármore,"Rocha ornamental utilizada em mosaicos, esculturas e objetos decorativos."
Granito,"Rocha resistente utilizada em peças decorativas, bases e trabalhos de acabamento."
Conchas,"Elementos naturais utilizados em bijuterias, mosaicos, decoração e trabalhos litorâneos."
Pedras semipreciosas,"Pedras naturais utilizadas em bijuterias, acessórios, mandalas e objetos decorativos."
Miçangas,"Pequenas contas decorativas utilizadas em colares, pulseiras, bordados e acessórios."
Contas de madeira,Pequenas peças de madeira perfuradas utilizadas em bijuterias e decoração.
Contas de vidro,"Contas produzidas em vidro utilizadas em colares, pulseiras e trabalhos decorativos."
Contas de cerâmica,Contas moldadas e queimadas em cerâmica utilizadas em bijuterias e acessórios.
Botões,"Pequenos elementos decorativos utilizados em costura, bonecos, colagens e acessórios."
Fita de cetim,"Fita têxtil lisa e brilhante utilizada em laços, embalagens, flores e decoração."
Fita de renda,"Fita com trama vazada utilizada em costura, decoração, acessórios e acabamento."
Renda,"Material têxtil vazado utilizado em roupas, decoração, aplicações e peças artesanais."
Tecido chita,Tecido de algodão estampado e colorido tradicionalmente usado em peças artesanais brasileiras.
Tecido jeans,"Tecido resistente de algodão utilizado em bolsas, acessórios, bonecos e reaproveitamento."
Retalho de tecido,"Sobras de tecidos utilizadas em patchwork, colagens, bonecos e reaproveitamento."
Couro,"Material natural resistente utilizado em bolsas, carteiras, cintos, acessórios e trabalhos de corte."
Couro sintético,"Material sintético com aparência de couro utilizado em acessórios, bolsas e peças decorativas."
Camurça,"Material de textura macia utilizado em acessórios, bijuterias e trabalhos de acabamento."
Borracha,"Material flexível utilizado em moldes, carimbos, acessórios e reaproveitamento artesanal."
Borracha EVA,"Espuma de borracha sintética utilizada em moldagem, decoração e trabalhos artesanais."
